[2025-05-14 14:29:43.634] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.623] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.622] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.621] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.620] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.620] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.614] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.602] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.601] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.595] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.594] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.593] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.592] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.591] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.590] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.589] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.584] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.583] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.582] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.577] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.576] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.575] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.571] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.568] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.563] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.537] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.529] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.528] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.523] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.522] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.521] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.520] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.511] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.510] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.506] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.505] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.501] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.496] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.490] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.489] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.482] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.477] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.476] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.475] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.474] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.469] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.468] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.467] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.466] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.460] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.459] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.458] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
